type, ringDim, setup, encryption, homomorphic, decryption, plaintext, total, value

n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 10, 0, 0, 0, 0, 10, 16
n16-coef-sum, 32, 21, 0, 0, 0, 0, 21, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 32, 4, 0, 0, 0, 0, 4, 16
