type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n8192-coef-inner, 2048, 63, 18, 15, 0, 96, 4
n8192-coef-inner, 2048, 22, 18, 15, 0, 55, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 21, 17, 23, 0, 61, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 20, 17, 14, 0, 51, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 20, 17, 14, 0, 51, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 18, 21, 14, 0, 53, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 15, 0, 48, 4
n8192-coef-inner, 2048, 17, 17, 15, 0, 49, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 15, 0, 48, 4
n8192-coef-inner, 2048, 17, 18, 14, 0, 49, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 22, 17, 13, 0, 52, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 13, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 18, 14, 0, 49, 4
n8192-coef-inner, 2048, 16, 18, 14, 0, 48, 4
n8192-coef-inner, 2048, 21, 17, 14, 0, 52, 4
n8192-coef-inner, 2048, 16, 18, 17, 0, 51, 4
n8192-coef-inner, 2048, 16, 22, 13, 0, 51, 4
n8192-coef-inner, 2048, 17, 17, 15, 0, 49, 4
n8192-coef-inner, 2048, 18, 17, 14, 0, 49, 4
n8192-coef-inner, 2048, 17, 16, 14, 0, 47, 4
n8192-coef-inner, 2048, 18, 17, 14, 0, 49, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 21, 17, 13, 0, 51, 4
n8192-coef-inner, 2048, 16, 17, 15, 0, 48, 4
n8192-coef-inner, 2048, 16, 18, 14, 0, 48, 4
n8192-coef-inner, 2048, 17, 21, 14, 0, 52, 4
n8192-coef-inner, 2048, 16, 18, 16, 0, 50, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 17, 21, 14, 0, 52, 4
n8192-coef-inner, 2048, 17, 17, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 16, 18, 14, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 16, 0, 49, 4
n8192-coef-inner, 2048, 16, 21, 15, 0, 52, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 18, 17, 14, 0, 49, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 19, 14, 0, 49, 4
n8192-coef-inner, 2048, 31, 18, 14, 0, 63, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 18, 17, 14, 0, 49, 4
n8192-coef-inner, 2048, 21, 17, 14, 0, 52, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 19, 0, 52, 4
n8192-coef-inner, 2048, 16, 17, 13, 0, 46, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 15, 0, 48, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 20, 17, 14, 0, 51, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 17, 17, 15, 0, 49, 4
n8192-coef-inner, 2048, 16, 17, 16, 0, 49, 4
n8192-coef-inner, 2048, 20, 17, 13, 0, 50, 4
n8192-coef-inner, 2048, 16, 16, 14, 0, 46, 4
n8192-coef-inner, 2048, 17, 17, 13, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n8192-coef-inner, 2048, 16, 17, 14, 0, 47, 4
n10x8192-coef-inner, 2048, 19, 210, 136, 3, 368, 28
n10x8192-coef-inner, 2048, 16, 153, 129, 3, 301, 28
n10x8192-coef-inner, 2048, 16, 163, 152, 3, 334, 28
n10x8192-coef-inner, 2048, 22, 160, 131, 3, 316, 28
n10x8192-coef-inner, 2048, 22, 161, 128, 3, 314, 28
n10x8192-coef-inner, 2048, 16, 151, 131, 3, 301, 28
n10x8192-coef-inner, 2048, 17, 151, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 154, 135, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 133, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 152, 137, 3, 308, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 17, 154, 135, 3, 309, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 16, 154, 134, 3, 307, 28
n10x8192-coef-inner, 2048, 18, 153, 130, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 160, 128, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 152, 129, 3, 300, 28
n10x8192-coef-inner, 2048, 17, 161, 131, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 152, 128, 3, 299, 28
n10x8192-coef-inner, 2048, 16, 158, 128, 3, 305, 28
n10x8192-coef-inner, 2048, 17, 155, 129, 3, 304, 28
n10x8192-coef-inner, 2048, 16, 160, 128, 3, 307, 28
n10x8192-coef-inner, 2048, 16, 153, 133, 8, 310, 28
n10x8192-coef-inner, 2048, 17, 153, 127, 3, 300, 28
n10x8192-coef-inner, 2048, 16, 155, 138, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 164, 129, 3, 312, 28
n10x8192-coef-inner, 2048, 16, 152, 141, 3, 312, 28
