type, setup, encryption, homomorphic, decryption, plaintext, total, value

simple-slot, 65, 77715, 6463, 1, 0, 84244, 2
simple-slot, 54, 75480, 3371, 1, 0, 78906, 2
simple-slot, 55, 75476, 3304, 1, 0, 78836, 2
simple-slot, 54, 75325, 3279, 2, 0, 78660, 2
simple-slot, 56, 74805, 3333, 1, 0, 78195, 2
simple-coef, 55, 124027, 3864, 1, 0, 127947, 2
simple-coef, 57, 124430, 3411, 3, 0, 127901, 2
simple-coef, 53, 124365, 3405, 1, 0, 127824, 2
simple-coef, 52, 124538, 3402, 1, 0, 127993, 2
simple-coef, 51, 124374, 3387, 1, 0, 127813, 2
rot-slot, 73, 12, 49865, 1, 0, 49951, 2.00024
rot-slot, 78, 13, 49209, 1, 0, 49301, 2.00024
rot-slot, 73, 13, 50065, 1, 0, 50152, 2.00024
rot-slot, 72, 11, 49707, 1, 0, 49791, 2.00024
rot-slot, 76, 11, 49063, 1, 0, 49151, 2.00024
rot-slot, 70, 12, 49695, 1, 0, 49778, 2.00024
rot-slot, 72, 12, 49223, 1, 0, 49308, 2.00024
rot-slot, 71, 11, 49447, 1, 0, 49530, 2.00024
rot-slot, 77, 12, 49465, 1, 0, 49555, 2.00024
rot-slot, 82, 12, 50813, 1, 0, 50908, 2.00024
opt-rot-slot, 280, 12, 72, 1, 0, 365, 2
opt-rot-slot, 283, 12, 70, 1, 0, 366, 2
opt-rot-slot, 284, 11, 74, 1, 0, 370, 2
opt-rot-slot, 287, 12, 84, 1, 0, 384, 2
opt-rot-slot, 281, 12, 73, 1, 0, 367, 2
opt-rot-slot, 304, 11, 71, 1, 0, 387, 2
opt-rot-slot, 278, 12, 71, 1, 0, 362, 2
opt-rot-slot, 285, 12, 72, 1, 0, 370, 2
opt-rot-slot, 299, 11, 71, 1, 0, 382, 2
opt-rot-slot, 290, 11, 71, 1, 0, 373, 2
opt-rot-slot, 306, 11, 72, 1, 0, 390, 2
opt-rot-slot, 275, 16, 71, 1, 0, 363, 2
opt-rot-slot, 285, 11, 73, 1, 0, 370, 2
opt-rot-slot, 284, 11, 72, 1, 0, 368, 2
opt-rot-slot, 291, 12, 81, 1, 0, 385, 2
opt-rot-slot, 278, 12, 71, 1, 0, 362, 2
opt-rot-slot, 287, 12, 72, 1, 0, 372, 2
opt-rot-slot, 275, 12, 70, 1, 0, 358, 2
opt-rot-slot, 287, 11, 71, 1, 0, 370, 2
opt-rot-slot, 280, 12, 73, 1, 0, 366, 2
opt-rot-slot, 280, 12, 72, 1, 0, 365, 2
opt-rot-slot, 293, 13, 80, 1, 0, 387, 2
opt-rot-slot, 278, 12, 90, 1, 0, 381, 2
opt-rot-slot, 274, 11, 69, 1, 0, 355, 2
opt-rot-slot, 292, 11, 85, 1, 0, 389, 2
opt-rot-slot, 310, 12, 83, 1, 0, 406, 2
opt-rot-slot, 277, 11, 69, 1, 0, 358, 2
opt-rot-slot, 280, 12, 71, 1, 0, 364, 2
opt-rot-slot, 285, 15, 70, 1, 0, 371, 2
opt-rot-slot, 282, 12, 72, 1, 0, 367, 2
opt-rot-slot, 278, 11, 74, 1, 0, 364, 2
opt-rot-slot, 279, 11, 70, 1, 0, 361, 2
opt-rot-slot, 281, 12, 73, 1, 0, 367, 2
opt-rot-slot, 285, 12, 78, 1, 0, 376, 2
opt-rot-slot, 276, 11, 70, 1, 0, 358, 2
opt-rot-slot, 288, 12, 70, 1, 0, 371, 2
opt-rot-slot, 280, 11, 72, 1, 0, 364, 2
opt-rot-slot, 281, 12, 72, 1, 0, 366, 2
opt-rot-slot, 278, 14, 70, 1, 0, 363, 2
opt-rot-slot, 287, 11, 72, 1, 0, 371, 2
opt-rot-slot, 285, 11, 76, 1, 0, 373, 2
opt-rot-slot, 285, 15, 82, 1, 0, 383, 2
opt-rot-slot, 280, 11, 74, 1, 0, 366, 2
opt-rot-slot, 296, 11, 72, 1, 0, 380, 2
opt-rot-slot, 273, 11, 75, 1, 0, 360, 2
opt-rot-slot, 280, 11, 71, 1, 0, 363, 2
opt-rot-slot, 295, 13, 71, 1, 0, 380, 2
opt-rot-slot, 279, 12, 71, 1, 0, 363, 2
opt-rot-slot, 289, 12, 71, 1, 0, 373, 2
opt-rot-slot, 280, 12, 89, 1, 0, 382, 2
opt-rot-slot, 282, 11, 73, 1, 0, 367, 2
opt-rot-slot, 288, 12, 74, 1, 0, 375, 2
opt-rot-slot, 276, 11, 81, 1, 0, 369, 2
opt-rot-slot, 287, 12, 71, 1, 0, 371, 2
opt-rot-slot, 282, 11, 68, 1, 0, 362, 2
opt-rot-slot, 288, 12, 72, 1, 0, 373, 2
opt-rot-slot, 281, 12, 72, 1, 0, 366, 2
opt-rot-slot, 286, 11, 70, 1, 0, 368, 2
opt-rot-slot, 280, 12, 70, 1, 0, 363, 2
opt-rot-slot, 285, 12, 72, 1, 0, 370, 2
