type, setup, encryption, homomorphic, decryption, plaintext, total, value

deduced-slot, 442, 27, 333, 1, 0, 803, 0.666626
deduced-slot, 373, 13, 194, 1, 0, 581, 0.666626
deduced-slot, 283, 11, 163, 1, 0, 458, 0.666626
deduced-slot, 293, 11, 155, 1, 0, 460, 0.666626
deduced-slot, 300, 11, 153, 1, 0, 465, 0.666626
deduced-slot, 307, 11, 157, 1, 0, 476, 0.666626
deduced-slot, 284, 14, 161, 1, 0, 460, 0.666626
deduced-slot, 288, 11, 174, 1, 0, 474, 0.666626
deduced-slot, 337, 17, 1087, 1, 0, 1442, 0.666626
deduced-slot, 610, 33, 306, 1, 0, 950, 0.666626
deduced-slot, 289, 11, 164, 1, 0, 465, 0.666626
deduced-slot, 330, 13, 158, 1, 0, 502, 0.666626
deduced-slot, 300, 11, 160, 1, 0, 472, 0.666626
deduced-slot, 306, 11, 159, 1, 0, 477, 0.666626
deduced-slot, 835, 48, 246, 1, 0, 1130, 0.666626
deduced-slot, 298, 11, 886, 5, 0, 1200, 0.666626
deduced-slot, 303, 11, 155, 1, 0, 470, 0.666626
deduced-slot, 430, 25, 331, 1, 0, 787, 0.666626
deduced-slot, 501, 11, 194, 1, 0, 707, 0.666626
deduced-slot, 460, 14, 220, 1, 0, 695, 0.666626
deduced-slot, 297, 12, 191, 1, 0, 501, 0.666626
deduced-slot, 295, 11, 243, 1, 0, 550, 0.666626
deduced-slot, 390, 22, 326, 1, 0, 739, 0.666626
deduced-slot, 292, 11, 200, 1, 0, 504, 0.666626
deduced-slot, 350, 38, 500, 1, 0, 889, 0.666626
deduced-slot, 1022, 28, 486, 1, 0, 1537, 0.666626
deduced-slot, 742, 33, 327, 1, 0, 1103, 0.666626
deduced-slot, 454, 30, 280, 1, 0, 765, 0.666626
deduced-slot, 462, 22, 261, 1, 0, 746, 0.666626
deduced-slot, 352, 19, 212, 1, 0, 584, 0.666626
deduced-slot, 366, 18, 227, 1, 0, 612, 0.666626
