type, ringDim, setup, encryption, homomorphic, decryption, plaintext, total, value

n8192-coef-sum, 8192, 41, 14, 0, 0, 0, 55, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 36, 11, 0, 0, 0, 47, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 34, 11, 0, 0, 0, 45, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 36, 11, 0, 0, 0, 47, 1.00012
n8192-coef-sum, 8192, 35, 12, 0, 0, 0, 47, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 36, 11, 0, 0, 0, 47, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 37, 11, 0, 0, 0, 48, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 34, 11, 0, 0, 0, 45, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 37, 11, 0, 0, 0, 48, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 1, 0, 47, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 47, 137, 32, 79, 0, 295, 1.00012
n8192-coef-sum, 8192, 72, 27, 0, 0, 0, 99, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 34, 11, 0, 0, 0, 45, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 56, 11, 0, 0, 0, 67, 1.00012
n8192-coef-sum, 8192, 34, 11, 0, 0, 0, 45, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
n8192-coef-sum, 8192, 35, 11, 0, 0, 0, 46, 1.00012
