type, ringDim, setup, encryption, homomorphic, decryption, plaintext, total, value

n8192-coef-sum, 8192, 95, 16, 0, 1, 0, 112, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 60, 16, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 57, 15, 0, 1, 0, 73, 1.00012
n8192-coef-sum, 8192, 59, 14, 0, 1, 0, 74, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 57, 15, 0, 1, 0, 73, 1.00012
n8192-coef-sum, 8192, 57, 15, 0, 1, 0, 73, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 64, 15, 0, 1, 0, 80, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 61, 15, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 63, 15, 0, 1, 0, 79, 1.00012
n8192-coef-sum, 8192, 60, 19, 0, 1, 0, 80, 1.00012
n8192-coef-sum, 8192, 56, 15, 0, 1, 0, 72, 1.00012
n8192-coef-sum, 8192, 63, 15, 0, 1, 0, 79, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 61, 15, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 62, 18, 0, 1, 0, 81, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 59, 14, 0, 1, 0, 74, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 58, 15, 0, 1, 0, 74, 1.00012
n8192-coef-sum, 8192, 78, 19, 1, 1, 0, 99, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 61, 15, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 62, 15, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 60, 17, 0, 1, 0, 78, 1.00012
n8192-coef-sum, 8192, 60, 15, 0, 1, 0, 76, 1.00012
n8192-coef-sum, 8192, 58, 14, 0, 1, 0, 73, 1.00012
n8192-coef-sum, 8192, 74, 15, 0, 1, 0, 90, 1.00012
n8192-coef-sum, 8192, 58, 15, 0, 1, 0, 74, 1.00012
n8192-coef-sum, 8192, 59, 15, 0, 1, 0, 75, 1.00012
n8192-coef-sum, 8192, 61, 15, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 58, 18, 0, 1, 0, 77, 1.00012
n8192-coef-sum, 8192, 56, 15, 0, 1, 0, 72, 1.00012
