type, ringDim, setup, encryption, homomorphic, decryption, plaintext, total, value

n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 14, 0, 0, 0, 0, 14, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 10, 0, 0, 0, 0, 10, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 10, 0, 0, 0, 0, 10, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 10, 0, 0, 0, 0, 10, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 9, 0, 0, 0, 0, 9, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 2, 8, 0, 0, 0, 0, 8, 16
n16-coef-sum, 2, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 2, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 4, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 7, 0, 0, 0, 0, 7, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 4, 0, 0, 0, 0, 4, 16
n16-coef-sum, 4, 5, 0, 0, 0, 0, 5, 16
n16-coef-sum, 4, 6, 0, 0, 0, 0, 6, 16
