type, ringDim, setup, encryption, AddMany, Mult, total_time, value 
n8192-coef-sum, 2048, 50, 8, 0, 0, 58, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 25, 8, 0, 0, 33, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 19, 8, 0, 0, 27, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 19, 8, 0, 0, 27, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 19, 8, 0, 0, 27, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 19, 8, 0, 0, 27, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 19, 9, 0, 0, 28, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 20, 8, 0, 0, 28, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 13, 0, 0, 30, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
