type, ringDim, setup, encryption, AddMany, RotAdd, total_time, value 
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 60, 9, 0, 13, 82, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 9, 0, 13, 81, 8193
n8192-slot-sum, 2048, 61, 8, 0, 13, 82, 8193
n8192-slot-sum, 2048, 67, 8, 0, 13, 88, 8193
n8192-slot-sum, 2048, 63, 8, 0, 13, 84, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 61, 8, 0, 13, 82, 8193
n8192-slot-sum, 2048, 63, 9, 0, 13, 85, 8193
n8192-slot-sum, 2048, 60, 9, 0, 13, 82, 8193
n8192-slot-sum, 2048, 60, 8, 0, 13, 81, 8193
n8192-slot-sum, 2048, 63, 8, 0, 13, 84, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 63, 9, 0, 16, 88, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 60, 8, 0, 13, 81, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 67, 8, 0, 13, 88, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 61, 8, 0, 13, 82, 8193
n8192-slot-sum, 2048, 60, 9, 0, 13, 82, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 60, 8, 0, 13, 81, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 60, 8, 0, 13, 81, 8193
n8192-slot-sum, 2048, 58, 8, 0, 13, 79, 8193
n8192-slot-sum, 2048, 61, 8, 0, 13, 82, 8193
n8192-slot-sum, 2048, 59, 9, 0, 13, 81, 8193
n8192-slot-sum, 2048, 60, 8, 0, 13, 81, 8193
n8192-slot-sum, 2048, 59, 9, 0, 13, 81, 8193
n8192-slot-sum, 2048, 59, 9, 0, 13, 81, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
n8192-slot-sum, 2048, 59, 8, 0, 13, 80, 8193
