type, setup, encryption, homomorphic, decryption, plaintext, total, value

sum-squares-slot, 321, 12, 164, 1, 0, 498, 0.666626
sum-squares-slot, 304, 12, 167, 1, 0, 484, 0.666626
sum-squares-slot, 299, 12, 163, 1, 0, 475, 0.666626
sum-squares-slot, 297, 14, 166, 1, 0, 478, 0.666626
sum-squares-slot, 299, 12, 169, 1, 0, 481, 0.666626
sum-squares-slot, 292, 12, 157, 1, 0, 462, 0.666626
sum-squares-slot, 301, 14, 161, 1, 0, 477, 0.666626
sum-squares-slot, 298, 12, 164, 1, 0, 475, 0.666626
sum-squares-slot, 299, 15, 162, 1, 0, 477, 0.666626
sum-squares-slot, 301, 12, 167, 1, 0, 481, 0.666626
sum-squares-slot, 300, 12, 162, 1, 0, 475, 0.666626
sum-squares-slot, 296, 12, 164, 1, 0, 473, 0.666626
sum-squares-slot, 301, 12, 166, 1, 0, 480, 0.666626
sum-squares-slot, 299, 12, 161, 1, 0, 473, 0.666626
sum-squares-slot, 309, 12, 170, 1, 0, 492, 0.666626
sum-squares-slot, 302, 12, 164, 1, 0, 479, 0.666626
sum-squares-slot, 309, 12, 162, 1, 0, 484, 0.666626
sum-squares-slot, 302, 12, 168, 1, 0, 483, 0.666626
sum-squares-slot, 302, 11, 161, 1, 0, 475, 0.666626
sum-squares-slot, 296, 12, 170, 1, 0, 479, 0.666626
sum-squares-slot, 303, 12, 172, 1, 0, 488, 0.666626
sum-squares-slot, 296, 12, 165, 1, 0, 474, 0.666626
sum-squares-slot, 311, 12, 162, 1, 0, 486, 0.666626
sum-squares-slot, 313, 12, 165, 1, 0, 491, 0.666626
sum-squares-slot, 318, 12, 163, 1, 0, 494, 0.666626
sum-squares-slot, 301, 12, 170, 1, 0, 484, 0.666626
sum-squares-slot, 296, 12, 165, 1, 0, 474, 0.666626
sum-squares-slot, 295, 12, 162, 1, 0, 470, 0.666626
sum-squares-slot, 317, 12, 165, 1, 0, 495, 0.666626
sum-squares-slot, 312, 14, 175, 1, 0, 502, 0.666626
sum-squares-slot, 309, 12, 182, 1, 0, 504, 0.666626
sum-squares-slot, 314, 12, 167, 1, 0, 494, 0.666626
sum-squares-slot, 296, 12, 164, 1, 0, 473, 0.666626
sum-squares-slot, 292, 12, 160, 1, 0, 465, 0.666626
sum-squares-slot, 304, 12, 163, 1, 0, 480, 0.666626
sum-squares-slot, 307, 12, 162, 1, 0, 482, 0.666626
sum-squares-slot, 296, 12, 173, 1, 0, 482, 0.666626
sum-squares-slot, 303, 12, 164, 1, 0, 480, 0.666626
sum-squares-slot, 303, 14, 158, 1, 0, 476, 0.666626
sum-squares-slot, 309, 13, 166, 1, 0, 489, 0.666626
sum-squares-slot, 309, 12, 160, 1, 0, 482, 0.666626
sum-squares-slot, 294, 12, 167, 1, 0, 474, 0.666626
sum-squares-slot, 294, 12, 170, 1, 0, 477, 0.666626
sum-squares-slot, 304, 12, 162, 1, 0, 479, 0.666626
sum-squares-slot, 307, 12, 165, 1, 0, 485, 0.666626
sum-squares-slot, 301, 12, 159, 1, 0, 473, 0.666626
sum-squares-slot, 313, 12, 164, 1, 0, 490, 0.666626
sum-squares-slot, 292, 12, 166, 1, 0, 471, 0.666626
sum-squares-slot, 299, 12, 166, 1, 0, 478, 0.666626
sum-squares-slot, 302, 12, 161, 1, 0, 476, 0.666626
sum-squares-slot, 298, 12, 161, 1, 0, 472, 0.666626
sum-squares-slot, 306, 12, 161, 1, 0, 480, 0.666626
sum-squares-slot, 303, 12, 167, 1, 0, 483, 0.666626
sum-squares-slot, 309, 12, 167, 1, 0, 489, 0.666626
sum-squares-slot, 306, 12, 165, 1, 0, 484, 0.666626
sum-squares-slot, 303, 12, 163, 1, 0, 479, 0.666626
sum-squares-slot, 306, 12, 163, 1, 0, 482, 0.666626
sum-squares-slot, 299, 14, 166, 1, 0, 480, 0.666626
sum-squares-slot, 303, 12, 170, 1, 0, 486, 0.666626
sum-squares-slot, 304, 15, 162, 1, 0, 482, 0.666626
